point	post	prior
0.49	0	12149
0.4904	0	12427
0.4908	781	12633
0.4912	1801	12872
0.4916	2405	13097
0.492	3069	13184
0.4924	3651	13475
0.4928	4448	13808
0.4932	5564	14144
0.4936	6168	14237
0.494	7442	14523
0.4944	8791	14726
0.4948	9935	14932
0.4952	11791	15016
0.4956	13044	15214
0.496	14427	15543
0.4964	16612	15917
0.4968	19590	16090
0.4972	21090	16287
0.4976	22977	16542
0.498	26726	16800
0.4984	29514	16876
0.4988	32211	17062
0.4992	34229	17178
0.4996	36436	17600
0.5	40397	17753
0.5004	45096	17795
0.5008	44990	18150
0.5012	48010	18365
0.5016	49765	18777
0.502	52120	18959
0.5024	54084	18918
0.5028	56763	19369
0.5032	57159	19260
0.5036	59471	19795
0.504	59303	19753
0.5044	59561	19953
0.5048	60019	19993
0.5052	59668	20131
0.5056	58030	20026
0.506	59004	20740
0.5064	56473	20446
0.5068	54167	20817
0.5072	53123	20612
0.5076	50591	21086
0.508	49560	21105
0.5084	46281	21045
0.5088	44441	21492
0.5092	41757	21213
0.5096	38549	21611
0.51	33962	21700
0.5104	32320	21841
0.5108	30113	21652
0.5112	26635	21664
0.5116	24703	22132
0.512	21909	21892
0.5124	19480	21846
0.5128	18495	22117
0.5132	16120	22240
0.5136	13638	22093
0.514	12262	22185
0.5144	10927	22198
0.5148	9005	22436
0.5152	8201	22328
0.5156	6807	22235
0.516	5907	22099
0.5164	4947	22427
0.5168	4072	22110
0.5172	3797	22240
0.5176	2821	22466
0.518	2446	22215
0.5184	2224	22279
0.5188	1588	22325
0.5192	1454	22076
0.5196	1209	22178
0.52	734	22123
0.5204	714	22140
0.5208	560	21767
0.5212	451	22091
0.5216	306	21767
0.522	312	21947
0.5224	155	21652
0.5228	164	21783
0.5232	96	21576
0.5236	124	21340
0.524	38	21464
0.5244	42	21469
0.5248	34	21419
0.5252	68	21015
0.5256	18	20919
0.526	15	20852
0.5264	6	20801
0.5268	11	20605
0.5272	0	20585
0.5276	2	20550
0.528	0	20198
0.5284	0	20202
0.5288	1	19783
0.5292	0	20001
