point	post	priorgaus	priorflat
0.49	0	12396	21715
0.4904	0	12587	21561
0.4908	1162	13013	21624
0.4912	3464	13338	21526
0.4916	3766	13298	21462
0.492	4668	13579	21239
0.4924	5482	14078	21434
0.4928	6775	14075	21187
0.4932	7394	14378	21339
0.4936	8348	14679	21136
0.494	9521	14894	20955
0.4944	10946	15119	21061
0.4948	12615	15233	21029
0.4952	14544	15443	21390
0.4956	15952	15749	21099
0.496	17555	16008	21071
0.4964	20370	16573	20727
0.4968	22951	16530	21081
0.4972	24613	16392	20594
0.4976	27649	16929	20960
0.498	30295	17042	20999
0.4984	32449	17437	21109
0.4988	36330	17693	20782
0.4992	37451	17588	20842
0.4996	40277	17856	20939
0.5	42928	18306	20893
0.5004	46066	18215	21026
0.5008	48577	18634	20941
0.5012	50233	18700	20633
0.5016	53100	19146	20528
0.502	53629	19515	20936
0.5024	56963	19534	20213
0.5028	57922	19802	20501
0.5032	57303	19932	20606
0.5036	58465	20081	20385
0.504	61483	20099	20361
0.5044	61408	20475	20449
0.5048	59583	20484	20219
0.5052	58157	20748	20531
0.5056	58736	20462	20308
0.506	58175	21089	20119
0.5064	54335	20889	20171
0.5068	53331	21455	20453
0.5072	52335	21184	20116
0.5076	49501	21633	20400
0.508	46877	21627	20115
0.5084	43613	21541	19884
0.5088	42118	21916	20035
0.5092	38758	21846	19999
0.5096	35791	22135	19871
0.51	34113	22267	19843
0.5104	31650	22162	19951
0.5108	28636	22287	19746
0.5112	26363	22374	19777
0.5116	23681	22574	19771
0.512	20862	22453	19649
0.5124	19608	22640	19955
0.5128	17281	22567	19930
0.5132	15230	22792	19554
0.5136	13385	22750	19646
0.514	11719	22656	19504
0.5144	9602	22740	19687
0.5148	8230	22912	19415
0.5152	7663	22795	19611
0.5156	6335	23002	19402
0.516	5314	22642	19696
0.5164	5063	22818	19351
0.5168	3845	22802	19448
0.5172	3344	22845	19614
0.5176	2703	22966	19418
0.518	2255	22938	19457
0.5184	1745	23015	19155
0.5188	1457	22981	19624
0.5192	1149	22575	19315
0.5196	880	22852	19253
0.52	888	22598	19232
0.5204	599	22511	19252
0.5208	525	22687	19045
0.5212	389	22715	19306
0.5216	391	22405	19285
0.522	224	22562	19228
0.5224	247	22057	19022
0.5228	155	22317	18981
0.5232	116	21988	18895
0.5236	80	21887	18975
0.524	43	22093	18739
0.5244	23	22029	18679
0.5248	68	21922	18826
0.5252	64	21567	18799
0.5256	11	21561	18747
0.526	10	21484	18853
0.5264	5	21360	18702
0.5268	18	21058	18811
0.5272	30	20945	18778
0.5276	0	21128	18654
0.528	4	20710	18715
0.5284	7	20760	18684
0.5288	0	20392	18233
0.5292	0	20407	18649
