aof	counts	countsmear
0	6610	10963
5e-06	6787.2	8696
1e-05	7200.8	8273
1.5e-05	7473.6	7720
2e-05	7744	7417
2.5e-05	8250	7036
3e-05	8153.6	6687
3.5e-05	8040.4	6380
4e-05	8318.8	6342
4.5e-05	8373.6	5853
5e-05	7977.6	5632
5.5e-05	7722	5403
6e-05	8175.6	5253
6.5e-05	8014.4	4912
7e-05	7572.8	4660
7.5e-05	7307.6	4416
8e-05	7006.8	4364
8.5e-05	6749.2	4028
9e-05	6482.8	3840
9.5e-05	5907.6	3599
0.0001	5596	3473
0.000105	5242	3278
0.00011	4954	3063
0.000115	4328	2867
0.00012	3943.6	2581
0.000125	3431.6	2578
0.00013	3092	2421
0.000135	2769.2	2120
0.00014	2510.4	2053
0.000145	2233.6	2047
0.00015	1949.2	1846
0.000155	1650	1742
0.00016	1450	1624
0.000165	1156	1464
0.00017	1050.8	1383
0.000175	806.4	1349
0.00018	730.4	1250
0.000185	597.6	1077
0.00019	509.6	1142
0.000195	461.2	1001
0.0002	375.6	942
0.000205	318	866
0.00021	246.4	838
0.000215	187.2	766
0.00022	155.6	714
0.000225	105.6	680
0.00023	61.6	599
0.000235	44.4	560
0.00024	49.2	532
0.000245	13.2	507
0.00025	22.4	463
0.000255	25.6	456
0.00026	26	461
0.000265	19.6	363
0.00027	6.4	366
0.000275	4.8	345
0.00028	4	351
0.000285	1.6	318
0.00029	0	287
0.000295	2.4	304
0.0003	0	245
0.000305	0	249
0.00031	0.4	244
0.000315	0	217
0.00032	0	177
0.000325	0	176
0.00033	0	185
0.000335	0	162
0.00034	0	152
0.000345	0	146
0.00035	0	132
0.000355	0	135
0.00036	0	123
0.000365	0	116
0.00037	0	103
0.000375	0	102
0.00038	0	81
0.000385	0	87
0.00039	0	76
0.000395	0	73
0.0004	0	53
0.000405	0	74
0.00041	0	58
0.000415	0	62
0.00042	0	63
0.000425	0	43
0.00043	0	47
0.000435	0	53
0.00044	0	52
0.000445	0	37
0.00045	0	26
0.000455	0	41
0.00046	0	33
0.000465	0	42
0.00047	0	25
0.000475	0	29
0.00048	0	29
0.000485	0	17
0.00049	0	17
