low	mid	data	2nbb	2nbbLV	2nbb+
0	2	-1	0.0282177	-1.67423	0.0367499
4	6	-1	0.222483	-1.5001	0.230632
8	10	-1	0.371572	-1.36801	0.379411
12	14	-1	0.370222	-1.40067	0.377521
16	18	-1	0.417774	-1.36136	0.424937
20	22	-1	0.466607	-1.33037	0.473483
24	26	-1	0.516828	-1.28417	0.523642
28	30	-0.60206	0.546364	-1.25394	0.553189
32	34	-1	0.591362	-1.22182	0.597989
36	38	-1	0.632109	-1.174	0.638843
40	42	-0.60206	0.66723	-1.1582	0.673674
44	46	-0.60206	0.698391	-1.127	0.704835
48	50	-1	0.731284	-1.09775	0.737674
52	54	-0.60206	0.756981	-1.07863	0.763276
56	58	-1	0.788523	-1.04864	0.794796
60	62	-1	0.815485	-1.02898	0.821654
64	66	-1	0.828662	-1.00968	0.834918
68	70	-1	0.862341	-0.974511	0.868619
72	74	-1	0.885628	-0.952278	0.891891
76	78	-1	0.89695	-0.936939	0.903271
80	82	-1	0.922506	-0.913914	0.92879
84	86	-1	0.94659	-0.889365	0.952881
88	90	-1	0.964928	-0.871538	0.971211
92	94	-1	0.981518	-0.859311	0.987739
96	98	-1	0.997855	-0.838094	1.00415
100	102	-1	1.01048	-0.830709	1.0167
104	106	-1	1.03129	-0.813707	1.03745
108	110	-1	1.0396	-0.807282	1.04574
112	114	-0.60206	1.05625	-0.786941	1.06244
116	118	-1	1.06927	-0.779182	1.07538
120	122	-1	1.08426	-0.765386	1.09036
124	126	-1	1.09708	-0.761133	1.10306
128	130	-1	1.10839	-0.744656	1.11444
132	134	-0.60206	1.12017	-0.731819	1.12624
136	138	1.23045	1.13355	-0.719983	1.13959
140	142	2.14535	1.14196	-0.710687	1.14802
144	146	2.9066	1.15667	-0.701783	1.16265
148	150	3.31508	1.16404	-0.691779	1.17005
152	154	3.45913	1.17077	-0.692024	1.17668
156	158	3.46831	1.1866	-0.676444	1.19251
160	162	3.47287	1.19522	-0.669935	1.20111
164	166	3.46872	1.20407	-0.666157	1.20989
168	170	3.44004	1.20708	-0.658555	1.21296
172	174	3.40496	1.22185	-0.649942	1.22764
176	178	3.37268	1.22916	-0.634526	1.23507
180	182	3.34434	1.23889	-0.629445	1.24474
184	186	3.31796	1.24969	-0.619352	1.25552
188	190	3.27995	1.25731	-0.610297	1.26317
192	194	3.25455	1.26448	-0.60148	1.27036
196	198	3.21498	1.27384	-0.592167	1.27971
200	202	3.18398	1.28429	-0.590694	1.29005
204	206	3.14868	1.29277	-0.585676	1.29848
208	210	3.12735	1.29959	-0.569742	1.30542
212	214	3.09812	1.30358	-0.567564	1.30938
216	218	3.06958	1.30797	-0.555593	1.31388
220	222	3.03743	1.3189	-0.551117	1.32472
224	226	3.00098	1.32767	-0.54394	1.33347
228	230	2.97669	1.33291	-0.534959	1.33876
232	234	2.94792	1.34477	-0.524381	1.3506
236	238	2.95424	1.35215	-0.514385	1.35802
240	242	2.88635	1.35762	-0.505141	1.36354
244	246	2.86703	1.3677	-0.500816	1.37354
248	250	2.83187	1.37452	-0.496852	1.38033
252	254	2.83075	1.37512	-0.490759	1.381
