energy	midenergy	data	sum	2nbb	K42homLAr	K40fibers	Bi212Tl208fibers	Pb214Bi214fibers	Ac228holder	Co60holder	K40holder	Pb214Bi214holder	K40cables	Bi212Tl208cables	Bi207minishroud	Pa234cables	alpha
564	566	4.21951	4.22655	3.84833	2.48855	1.51068	-5.29954	0.0444895	-0.379349	-1.46903	-0.171376	-1.38729	-1.38795	-1.28064	-0.760103	-0.119054	-2.95255	
568	570	4.18965	4.29069	3.84675	2.45449	1.50238	-5.34086	0.0384012	-0.33499	-1.51767	-0.212068	-1.37237	-1.36286	-1.2885	1.54548	0.546325	-2.92704	
572	574	4.1972	4.21949	3.85283	2.51182	1.50349	-5.34831	0.034573	-0.347226	-1.51114	-0.234871	-1.37913	-1.3955	-1.3162	-1.99185	-1.11394	-2.85124	
576	578	4.07754	4.21418	3.84809	2.5022	1.52273	-5.32245	0.0351589	-0.448338	-1.52545	-0.167236	-1.44167	-1.34126	-1.33616	-2.79122	-1.13664	-2.90235	
580	582	4.35991	4.31651	3.84817	2.46951	1.49066	-3.69544	0.065162	-0.341927	-1.54277	-0.245039	-1.45945	-1.33135	2.0792	-2.44738	-1.11579	-2.89509	
584	586	4.32744	4.25581	3.84717	2.47028	1.46846	-4.30784	-0.0258834	-0.391827	-1.53824	-0.258201	-1.47855	-1.38352	1.32659	-1.6953	-1.05703	-2.86587	
588	590	4.21951	4.20212	3.85257	2.4575	1.45215	-5.52888	-0.0318133	-0.412341	-1.53216	-0.204794	-1.45863	-1.42696	-1.63339	-2.81529	-1.1407	-2.93414	
592	594	4.18586	4.20342	3.85786	2.43345	1.45511	-5.5729	-0.0391744	-0.416152	-1.53258	-0.145316	-1.46094	-1.30167	-1.63763	-2.82844	-1.07708	-2.74876	
596	598	4.18205	4.19808	3.86307	2.39961	1.40885	-5.57543	-0.0527162	-0.435456	-1.54512	-0.137159	-1.45949	-1.29674	-1.64819	-2.83919	-1.06761	-2.95287	
600	602	4.17439	4.19423	3.859	2.39479	1.42497	-5.60966	-0.0657642	-0.444516	-1.52625	-0.239211	-1.48006	-1.357	-1.70436	-2.85279	-0.916857	-2.97346	
604	610	4.36204	4.30992	3.86563	2.38629	1.4352	-5.64235	1.70874	-0.436264	-1.52856	-0.267297	1.27943	-1.40392	-1.71406	-2.84362	-1.08147	-2.88146	
616	618	4.21582	4.19431	3.87606	2.36126	1.4238	-5.66099	-0.420179	-0.391314	-1.53326	-0.327561	-1.67209	-1.38386	-1.7423	-2.85378	-1.15181	-2.8692	
620	622	4.19344	4.18521	3.87632	2.31699	1.38193	-5.7186	-0.436838	-0.408841	-1.5193	-0.258701	-1.71446	-1.42033	-1.72914	-2.85922	-1.14263	-2.93015	
624	626	4.13116	4.18358	3.87078	2.34171	1.38092	-5.74771	-0.456827	-0.425951	-1.52148	-0.387736	-1.71687	-1.41078	-1.7348	-2.86459	-1.07524	-2.84272	
628	630	4.21951	4.19213	3.86963	2.37417	1.41558	-5.71142	-0.450169	-0.415571	-1.54842	-0.221348	-1.70258	-1.40576	-1.75611	-2.84463	-1.02682	-3.063	
632	634	4.17823	4.17967	3.86587	2.33214	1.35963	-5.73025	-0.441265	-0.431836	-1.54971	-0.172266	-1.68049	-1.37309	-1.77396	-2.79788	-1.12945	-2.79135	
636	638	4.13916	4.1897	3.87161	2.37408	1.38782	-5.76209	-0.466068	-0.414588	-1.56681	-0.324479	-1.69993	-1.43403	-1.77068	-2.79077	-1.21289	-2.76042	
640	642	4.1972	4.18556	3.87402	2.34277	1.35859	-5.76081	-0.476658	-0.407996	-1.54658	-0.25249	-1.72381	-1.45106	-1.76197	-2.52458	-1.20413	-2.98794	
644	646	4.17439	4.18443	3.87855	2.31245	1.34629	-5.76299	-0.499815	-0.420024	-1.56089	-0.172517	-1.746	-1.37824	-1.76468	-2.59938	-1.15288	-2.92639	
648	650	4.17053	4.19119	3.87708	2.36659	1.3568	-5.80565	-0.480024	-0.29457	-1.55362	-0.375265	-1.71561	-1.43726	-1.73818	-2.84401	-1.18272	-2.98746	
