energy	midenergy	data	sum	2nbb	K42homLAr	K40fibers	Bi212Tl208fibers	Pb214Bi214fibers	Ac228holder	Co60holder	K40holder	Pb214Bi214holder	K40cables	Bi212Tl208cables	Bi207minishroud	Pa234cables	alpha	K42nPlus
564	566	4.00278	3.98759	3.60403	2.25827	1.27966	-5.44819	-0.146195	-1.06146	-2.16195	-0.854054	-1.97303	-1.82676	-1.73904	-0.408867	-0.584946	-3.07063	-0.65747	
568	570	3.92691	4.06366	3.60313	2.22459	1.26621	-5.51859	-0.134947	-1.03867	-2.14619	-0.876864	-1.97227	-1.87535	-1.75032	1.58026	0.0307043	-3.04953	-0.671486	
572	574	3.97029	3.97278	3.60912	2.25841	1.24119	-5.5011	-0.137628	-1.05808	-2.14276	-0.900256	-1.97113	-1.90142	-1.74045	-1.63354	-1.62551	-2.98648	-0.658423	
576	578	3.96081	3.95624	3.60466	2.19992	1.24884	-5.47333	-0.125422	-1.13819	-2.14629	-0.928377	-2.01074	-1.89424	-1.71174	-2.84708	-1.6994	-3.02907	-0.677802	
580	582	4.11904	4.05679	3.60461	2.28217	1.22243	-3.80318	-0.0942945	-1.05123	-2.18666	-0.911517	-2.03289	-1.87368	1.5925	-2.40651	-1.67344	-3.02385	-0.683595	
584	586	4.00278	3.99693	3.60213	2.18175	1.23007	-4.32766	-0.201134	-1.08411	-2.16118	-0.93011	-2.0395	-1.88797	0.943592	-1.67476	-1.61061	-2.9992	-0.683121	
588	590	3.98898	3.9672	3.61102	2.25602	1.23418	-5.70231	-0.20724	-1.1233	-2.18109	-0.879081	-2.03983	-1.95589	-2.13895	-2.87258	-1.66998	-3.05584	-0.689988	
592	594	3.98898	3.96359	3.61452	2.22237	1.22729	-5.7608	-0.208586	-1.13793	-2.12258	-0.850436	-2.04397	-1.95127	-2.16287	-2.92839	-1.63653	-2.89789	-0.694503	
596	598	3.97029	3.95786	3.61744	2.18624	1.2069	-5.76305	-0.211547	-1.14669	-2.16767	-0.879773	-2.02659	-1.92816	-2.13719	-2.91868	-1.59674	-3.07291	-0.691003	
600	602	3.98434	3.94839	3.61778	2.12968	1.20013	-5.78433	-0.231964	-1.16393	-2.16491	-0.899747	-2.03852	-1.86446	-2.17204	-2.92914	-1.46343	-3.08862	-0.683387	
604	610	4.11904	4.07251	3.62298	2.18232	1.19235	-5.82283	1.66417	-1.16105	-2.18577	-0.773444	0.628601	-1.9332	-2.20363	-2.93791	-1.63597	-3.01045	-0.70318	
616	618	3.92691	3.94999	3.63335	2.12416	1.16194	-5.8702	-0.618224	-1.09891	-2.20148	-0.893618	-2.31301	-1.93278	-2.23501	-2.92353	-1.6911	-3.00069	-0.693185	
620	622	3.85545	3.96321	3.63614	2.1934	1.17418	-5.84314	-0.653658	-1.12336	-2.17668	-0.929853	-2.34966	-1.96399	-2.22247	-2.94156	-1.68179	-3.05104	-0.706652	
624	626	3.8764	3.94618	3.62769	2.11542	1.18896	-5.86187	-0.659264	-1.14276	-2.18735	-0.810357	-2.35275	-2.01215	-2.21444	-2.90646	-1.60405	-2.97654	-0.705198	
628	630	3.96556	3.94741	3.62794	2.13575	1.14774	-5.89706	-0.646597	-1.13213	-2.19434	-0.799434	-2.33634	-2.0145	-2.20949	-2.86991	-1.57101	-3.16115	-0.703503	
632	634	3.8764	3.94197	3.62466	2.12182	1.15136	-5.91424	-0.640135	-1.13435	-2.21504	-0.914612	-2.31257	-1.96688	-2.20526	-2.82969	-1.65832	-2.93339	-0.722212	
636	638	3.767	3.94165	3.62658	2.11134	1.15536	-5.92407	-0.668758	-1.13125	-2.16579	-0.906331	-2.35728	-1.95303	-2.17686	-2.77847	-1.76432	-2.90394	-0.711975	
640	642	4.00278	3.96034	3.63511	2.19188	1.14804	-5.90035	-0.682018	-1.11623	-2.19491	-0.989499	-2.37327	-1.98688	-2.21989	-2.24921	-1.75355	-3.09798	-0.726751	
644	646	3.86598	3.95135	3.63849	2.1201	1.14859	-5.92247	-0.702054	-1.1324	-2.18196	-0.88716	-2.38353	-2.00874	-2.23806	-2.36618	-1.69583	-3.04752	-0.727959	
648	650	3.96556	3.93568	3.63326	2.04474	1.15044	-5.95101	-0.673346	-0.997056	-2.24028	-0.952732	-2.36702	-2.00844	-2.23012	-2.87413	-1.7202	-3.10009	-0.723908	
652	654	3.98898	3.93118	3.62858	2.03912	1.11417	-5.95433	-0.708561	-1.10177	-2.18857	-0.964459	-2.39676	-1.96031	-2.20011	-1.914	-1.46354	-2.99717	-0.723476	
656	658	4.12309	3.94958	3.63689	2.07514	1.09326	-5.95917	-0.704819	-1.11995	-2.19387	-0.992595	-2.38025	-1.89315	-2.11516	-0.488234	-1.70103	-2.98926	-0.743888	
660	662	4.01638	3.9584	3.64356	2.14737	1.10852	-5.96311	-0.628728	-1.11904	-2.19645	-0.868364	-2.28102	-1.93787	-2.26806	-2.74073	-1.52105	-3.10669	-0.727339	
664	666	3.8712	3.94743	3.64053	2.05035	1.10136	-6.00198	-0.186577	-1.1036	-2.22224	-0.891383	-1.84502	-1.97854	-2.31426	-2.99649	-1.37401	-2.94692	-0.73808	
668	670	4.03424	3.93511	3.63259	2.0688	1.07005	-5.9815	-0.732959	-1.10549	-2.18717	-0.873957	-2.4148	-1.98595	-2.27451	-2.98255	-1.28833	-3.06287	-0.733614	
672	674	4.04743	3.93473	3.63815	2.04527	1.07773	-5.99458	-0.748627	-1.00268	-2.22335	-0.878632	-2.43682	-1.99899	-2.34244	-2.99317	-1.73654	-2.75698	-0.728207	
676	678	3.95604	3.92902	3.63603	2.0251	1.07904	-6.04138	-0.763199	-1.05837	-2.17747	-0.949135	-2.41962	-1.99467	-2.33902	-2.99268	-1.74663	-2.98423	-0.723754	
680	682	3.93672	3.94153	3.64327	2.06748	1.07868	-5.99658	-0.730644	-1.09662	-2.19434	-0.888331	-2.34964	-1.98549	-2.33711	-2.98151	-1.68468	-3.00094	-0.73686	
684	686	3.98898	3.9318	3.63976	2.01786	1.09663	-6.00657	-0.745134	-1.01517	-2.18979	-0.988808	-2.35044	-1.98067	-2.37667	-2.98626	-1.69576	-3.19311	-0.743825	
688	690	3.88156	3.93443	3.64526	2.01015	1.06729	-6.03196	-0.780316	-0.945148	-2.20214	-0.90574	-2.38445	-1.9673	-2.38568	-2.97209	-1.59495	-3.07851	-0.733614	
692	694	4.00733	3.92617	3.63674	2.00956	1.04614	-6.05899	-0.779508	-1.07201	-2.22063	-0.947748	-2.40832	-1.99462	-2.36524	-2.96556	-1.41951	-3.04191	-0.739678	
696	698	3.85545	3.92379	3.63259	1.98551	1.07203	-6.11409	-0.767117	-1.06485	-2.17432	-1.04524	-2.36456	-2.02116	-2.39141	-2.96568	-0.908078	-2.97183	-0.740556	
