energy	midenergy	res	1sig	2sig	3sig	-1sig	-2sig	-3sig
0	2	-108.691	10.4255	20.851	31.2765	-10.4255	-20.851	-31.2765
4	6	-1.74425	1.3207	2.6414	3.96211	-1.3207	-2.6414	-3.96211
8	10	-2.43722	1.56116	3.12232	4.68348	-1.56116	-3.12232	-4.68348
12	14	-2.44187	1.56265	3.1253	4.68795	-1.56265	-3.1253	-4.68795
16	18	-8.33753	2.88748	5.77496	8.66243	-2.88748	-5.77496	-8.66243
20	22	-60.0216	7.74736	15.4947	23.2421	-7.74736	-15.4947	-23.2421
24	26	-65.8966	8.11767	16.2353	24.353	-8.11767	-16.2353	-24.353
28	30	-65.5221	8.11	16.22	24.33	-8.11	-16.22	-24.33
32	34	-64.7442	8.04638	16.0928	24.1391	-8.04638	-16.0928	-24.1391
36	38	-65.2302	8.07652	16.153	24.2296	-8.07652	-16.153	-24.2296
40	42	-64.6068	8.05337	16.1067	24.1601	-8.05337	-16.1067	-24.1601
44	46	-65.2049	8.09042	16.1808	24.2713	-8.09042	-16.1808	-24.2713
48	50	-66.2724	8.14079	16.2816	24.4224	-8.14079	-16.2816	-24.4224
52	54	-68.6941	8.30326	16.6065	24.9098	-8.30326	-16.6065	-24.9098
56	58	-72.983	8.54301	17.086	25.629	-8.54301	-17.086	-25.629
60	62	-76.3625	8.73856	17.4771	26.2157	-8.73856	-17.4771	-26.2157
64	66	-84.5007	9.19243	18.3849	27.5773	-9.19243	-18.3849	-27.5773
68	70	-95.3612	9.76531	19.5306	29.2959	-9.76531	-19.5306	-29.2959
72	74	-110.768	10.5246	21.0493	31.5739	-10.5246	-21.0493	-31.5739
76	78	-125.089	11.1843	22.3686	33.553	-11.1843	-22.3686	-33.553
80	82	-130.582	11.4272	22.8545	34.2817	-11.4272	-22.8545	-34.2817
84	86	-146.435	12.101	24.202	36.3031	-12.101	-24.202	-36.3031
88	90	-159.797	12.6411	25.2821	37.9232	-12.6411	-25.2821	-37.9232
92	94	-167.69	12.9495	25.899	38.8486	-12.9495	-25.899	-38.8486
96	98	-176.696	13.2927	26.5854	39.8781	-13.2927	-26.5854	-39.8781
100	102	-182.71	13.517	27.0341	40.5511	-13.517	-27.0341	-40.5511
104	106	-190.715	13.8099	27.6199	41.4298	-13.8099	-27.6199	-41.4298
108	110	-193.444	13.9084	27.8168	41.7252	-13.9084	-27.8168	-41.7252
112	114	-198.722	14.1057	28.2115	42.3172	-14.1057	-28.2115	-42.3172
116	118	-197.74	14.062	28.124	42.186	-14.062	-28.124	-42.186
120	122	-201.152	14.1828	28.3656	42.5484	-14.1828	-28.3656	-42.5484
124	126	-200.982	14.1768	28.3537	42.5305	-14.1768	-28.3537	-42.5305
128	130	-204.789	14.3104	28.6209	42.9313	-14.3104	-28.6209	-42.9313
132	134	-199.842	14.1454	28.2908	42.4362	-14.1454	-28.2908	-42.4362
136	138	-179.451	14.0161	28.0322	42.0483	-14.0161	-28.0322	-42.0483
140	142	-52.9912	13.8831	27.7663	41.6494	-13.8831	-27.7663	-41.6494
144	146	614.926	13.841	27.682	41.5231	-13.841	-27.682	-41.5231
