energy	midenergy	res	1sig	2sig	3sig	-1sig	-2sig	-3sig
0	2	-330.292	18.1739	36.3479	54.5218	-18.1739	-36.3479	-54.5218
4	6	-1.7984	1.34104	2.68209	4.02313	-1.34104	-2.68209	-4.02313
8	10	-2.41865	1.5552	3.1104	4.6656	-1.5552	-3.1104	-4.6656
12	14	-1.97185	1.57221	3.14442	4.71664	-1.57221	-3.14442	-4.71664
16	18	-5.69169	2.38573	4.77145	7.15718	-2.38573	-4.77145	-7.15718
20	22	-31.3141	5.5959	11.1918	16.7877	-5.5959	-11.1918	-16.7877
24	26	-34.726	5.89288	11.7858	17.6786	-5.89288	-11.7858	-17.6786
28	30	-34.7445	5.91562	11.8312	17.7468	-5.91562	-11.8312	-17.7468
32	34	-36.2544	6.02116	12.0423	18.0635	-6.02116	-12.0423	-18.0635
36	38	-37.4093	6.11631	12.2326	18.3489	-6.11631	-12.2326	-18.3489
40	42	-36.4718	6.03919	12.0784	18.1176	-6.03919	-12.0784	-18.1176
44	46	-36.3484	6.02896	12.0579	18.0869	-6.02896	-12.0579	-18.0869
48	50	-37.747	6.14386	12.2877	18.4316	-6.14386	-12.2877	-18.4316
52	54	-38.0831	6.17115	12.3423	18.5135	-6.17115	-12.3423	-18.5135
56	58	-39.5496	6.30869	12.6174	18.9261	-6.30869	-12.6174	-18.9261
60	62	-41.1533	6.41508	12.8302	19.2453	-6.41508	-12.8302	-19.2453
64	66	-44.1394	6.64375	13.2875	19.9312	-6.64375	-13.2875	-19.9312
68	70	-48.335	6.95234	13.9047	20.857	-6.95234	-13.9047	-20.857
72	74	-55.6853	7.46226	14.9245	22.3868	-7.46226	-14.9245	-22.3868
76	78	-59.3893	7.70644	15.4129	23.1193	-7.70644	-15.4129	-23.1193
80	82	-66.5969	8.16069	16.3214	24.4821	-8.16069	-16.3214	-24.4821
84	86	-74.4866	8.63056	17.2611	25.8917	-8.63056	-17.2611	-25.8917
88	90	-81.248	9.01377	18.0275	27.0413	-9.01377	-18.0275	-27.0413
92	94	-88.6744	9.41671	18.8334	28.2501	-9.41671	-18.8334	-28.2501
96	98	-95.8829	9.80474	19.6095	29.4142	-9.80474	-19.6095	-29.4142
100	102	-99.99	9.9995	19.999	29.9985	-9.9995	-19.999	-29.9985
104	106	-105.875	10.2896	20.5791	30.8687	-10.2896	-20.5791	-30.8687
108	110	-109.887	10.4827	20.9654	31.4481	-10.4827	-20.9654	-31.4481
112	114	-111.852	10.576	21.152	31.728	-10.576	-21.152	-31.728
116	118	-115.755	10.7589	21.5179	32.2768	-10.7589	-21.5179	-32.2768
120	122	-116.575	10.797	21.594	32.391	-10.797	-21.594	-32.391
124	126	-119.666	10.9392	21.8784	32.8176	-10.9392	-21.8784	-32.8176
128	130	-123.639	11.1193	22.2387	33.358	-11.1193	-22.2387	-33.358
132	134	-120.848	10.9931	21.9862	32.9792	-10.9931	-21.9862	-32.9792
136	138	-118.2	10.9064	21.8128	32.7192	-10.9064	-21.8128	-32.7192
140	142	-105.49	10.9083	21.8165	32.7248	-10.9083	-21.8165	-32.7248
144	146	2.52744	10.8845	21.769	32.6535	-10.8845	-21.769	-32.6535
148	150	329.78	10.8499	21.6998	32.5497	-10.8499	-21.6998	-32.5497
152	154	676.162	10.8207	21.6414	32.4621	-10.8207	-21.6414	-32.4621
156	158	691.891	10.6588	21.3175	31.9763	-10.6588	-21.3175	-31.9763
160	162	718.292	10.6046	21.2093	31.8139	-10.6046	-21.2093	-31.8139
164	166	744.898	10.4452	20.8904	31.3356	-10.4452	-20.8904	-31.3356
168	170	807.578	10.3403	20.6806	31.0209	-10.3403	-20.6806	-31.0209
172	174	963.984	10.369	20.7379	31.1069	-10.369	-20.7379	-31.1069
176	178	1224.31	10.1829	20.3658	30.5487	-10.1829	-20.3658	-30.5487
180	182	1333.74	10.0752	20.1505	30.2257	-10.0752	-20.1505	-30.2257
184	186	1329.59	10.095	20.19	30.2851	-10.095	-20.19	-30.2851
188	190	1340.24	9.97554	19.9511	29.9266	-9.97554	-19.9511	-29.9266
192	194	1368.15	9.89203	19.7841	29.6761	-9.89203	-19.7841	-29.6761
196	198	1270.31	9.78229	19.5646	29.3469	-9.78229	-19.5646	-29.3469
200	202	1192.89	9.71382	19.4276	29.1414	-9.71382	-19.4276	-29.1414
204	206	1142.96	9.65862	19.3172	28.9759	-9.65862	-19.3172	-28.9759
208	210	1077.25	9.64379	19.2876	28.9314	-9.64379	-19.2876	-28.9314
212	214	1029.1	9.48132	18.9626	28.444	-9.48132	-18.9626	-28.444
216	218	957.383	9.49299	18.986	28.479	-9.49299	-18.986	-28.479
